active,headline,date,description,link,image,image_alt
TRUE,"Conflict-intelligent leadership in a messy, anxious world — *Frontiers in Organizational Psychology*",May 28 2026,"New peer-reviewed research develops and validates the Conflict Intelligent Leadership Scale (CIQ-L)—a multidimensional measure of how leaders navigate conflict in turbulent workplaces.",https://www.frontiersin.org/journals/organizational-psychology/articles/10.3389/forgp.2026.1777594/full,https://d2csxpduxe849s.cloudfront.net/media/E32629C6-9347-4F84-81FEAEF7BFA342B3/65AE6C8E-0D4D-4D34-84166B5E78AE2FEF/WebsiteWebP_XL-FORGP_Main%20Visual_Orange.webp,Frontiers in Organizational Psychology — conflict-intelligent leadership
TRUE,"The Way Out: Updated Edition Released in August 2026",August 2026,"New practical plans and exercises for individual, social, and systemic change—plus lessons on reforming the institutions that entrench conflict and building sustainable ways to live together.",https://cup.columbia.edu/book/the-way-out/9780231224772/,https://edventuredesign.com/wp-content/uploads/2026/01/Title-2-scaled.jpg,"The Way Out, Updated Edition"
TRUE,"The Conflict Intelligence (CIQ) Lab *Executive Education Program*",October 26 2026 — November 15 2026,"Transform conflict into your competitive advantage with a research-backed program from MD-ICCCR and TC Academy at Teachers College, Columbia University.",https://www.tc.columbia.edu/tcacademy/programs/all-offerings/conflict-intelligence-executive-education-program/,https://www.tc.columbia.edu/tcacademy/programs/all-offerings/conflict-intelligence-executive-education-program/Conflict_Intelligence_Executive_Education_Program.jpg,Conflict Intelligence (CIQ) Lab Executive Education Program
TRUE,"On the science of de-escalation in an election year — *The Ezra Klein Show.*",Apr 11 2026,A conversation on how research on intractable conflict applies to difficult political moments.,#,https://images.unsplash.com/photo-1478737270239-2f02b77fc618?w=800&q=80&auto=format&fit=crop,Podcast interview
